name,price,type,efficiency,wattage,modular,color,efficiency_type,modularity,Watts
OCZ ZS,,ATX,0.8723404255319148,0.2972972972972973,0.0,,bronze,False,750
Thermaltake Smart BX1 450,,ATX,0.8723404255319148,0.13513513513513514,0.0,Black,bronze,False,450
Aerocool XPredator GM,,ATX,0.925531914893617,0.43243243243243246,0.6000000000000001,Black,gold,Semi,1000
XFX ProSeries,,ATX,0.8723404255319148,0.13513513513513514,0.0,,bronze,False,450
SeaSonic ECO,,ATX,0.8723404255319148,0.12432432432432433,0.0,,bronze,False,430
SeaSonic PRIME Platinum,,ATX,0.9574468085106382,0.2972972972972973,1.0,,platinum,Full,750
Rosewill HIVE S,,ATX,0.8723404255319148,0.24324324324324326,1.0,,bronze,Full,650
be quiet! POWER 2,,SFX,0.8723404255319148,0.10810810810810811,0.0,,bronze,False,400
Fractal Design Edison M,,ATX,0.925531914893617,0.24324324324324326,0.6000000000000001,,gold,Semi,650
be quiet! Straight Power 12,,ATX,0.9574468085106382,0.7027027027027027,1.0,Black,platinum,Full,1500
Antec EDGE,,ATX,0.925531914893617,0.24324324324324326,1.0,,gold,Full,650
Antec EDGE,,ATX,0.925531914893617,0.1891891891891892,1.0,,gold,Full,550
PC Power & Cooling Silencer MK III,,ATX,0.8723404255319148,0.16216216216216217,0.6000000000000001,,bronze,Semi,500
SeaSonic PRIME Ultra Gold 650,,ATX,0.925531914893617,0.24324324324324326,1.0,Black,gold,Full,650
Athena Power AP-TFX40,,TFX,0.8723404255319148,0.10810810810810811,0.0,,bronze,False,400
Cougar SL500,,ATX,0.0,0.16216216216216217,0.0,,white,False,500
SeaSonic X,,ATX,0.925531914893617,0.45945945945945943,1.0,,gold,Full,1050
Apevia ATX-WA750W,,ATX,0.0,0.2972972972972973,0.0,,white,False,750
HEC HEC250SRT,,SFX,0.0,0.02702702702702703,0.0,,white,False,250
OCZ Z Series Gold,,ATX,0.925531914893617,0.35135135135135137,0.6000000000000001,,gold,Semi,850
Rosewill Green,,ATX,0.8723404255319148,0.2702702702702703,0.0,,bronze,False,700
Raidmax XT,,ATX,0.0,0.05405405405405406,0.0,,white,False,300
SeaSonic Core GC,,ATX,0.925531914893617,0.1891891891891892,0.0,Black / Yellow,gold,False,550
be quiet! Pure Power L7,,ATX,0.851063829787234,0.1783783783783784,0.0,,plus,False,530
Cooler Master MasterWatt TUF Gaming Alliance,,ATX,0.8723404255319148,0.1891891891891892,0.6000000000000001,Black / Gray,bronze,Semi,550
GameMax GM,,ATX,0.925531914893617,0.16216216216216217,0.6000000000000001,Black,gold,Semi,500
Antec NeoECO V2,,ATX,0.8723404255319148,0.24324324324324326,0.6000000000000001,Black,bronze,Semi,650
Gigabyte Odin GT 800,,ATX,0.851063829787234,0.32432432432432434,0.6000000000000001,Black,plus,Semi,800
Super Flower Leadex III ARGB,,ATX,0.925531914893617,0.1891891891891892,1.0,Black,gold,Full,550
Enermax TRIATHLOR ECO,,ATX,0.8723404255319148,0.43243243243243246,0.6000000000000001,,bronze,Semi,1000
Apex AG-M,,ATX,0.925531914893617,0.24324324324324326,1.0,Black,gold,Full,650
Silverstone Strider Platinum,,ATX,0.9574468085106382,0.43243243243243246,1.0,,platinum,Full,1000
GAMDIAS Cyclops X1 P,,ATX,0.9574468085106382,0.5405405405405406,1.0,Black / Multicolor,platinum,Full,1200
Antec EA-750 Platinum,,ATX,0.9574468085106382,0.2972972972972973,0.0,,platinum,False,750
Athena Power AP-MFATX25,,Mini ITX,0.851063829787234,0.02702702702702703,0.0,,plus,False,250
Cooler Master MPW-5502-ACABW 230V,,ATX,0.851063829787234,0.1891891891891892,0.0,,plus,False,550
