name,price,capacity,price_per_gb,type,cache,form_factor,interface,speed
Seagate BarraCuda,30.22,1000,0.03,7200,64,3.5,SATA 6.0 Gb/s,160
Samsung 970 Evo,61.99,500,0.124,SSD,512,M.2,M.2 PCIe 3.0 X4,3500
ADATA Legend 800,89.99,2000,0.045,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Crucial P5 Plus,42.99,500,0.086,SSD,1024,M.2,M.2 PCIe 4.0 X4,7000
Lexar NM620,69,1000,0.069,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Toshiba MK3276GSX,12.7,320,0.04,5400,8,2.5,SATA 3.0 Gb/s,160
Western Digital Black SN750,112.97,1000,0.113,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Silicon Power A55,21.97,512,0.043,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate FireCuda 530,69.45,1000,0.069,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Western Digital Blue,114.99,8000,0.014,5640,128,3.5,SATA 6.0 Gb/s,550
Samsung 850 Evo,,500,,SSD,0,2.5,SATA 6.0 Gb/s,550
Western Digital Blue,49,500,0.098,SSD,0,2.5,SATA 6.0 Gb/s,550
Seagate FireCuda 530,331.72,4000,0.083,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
PNY CS1030,35.99,1000,0.036,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Western Digital Black SN850X w/Heatsink,69.99,1000,0.07,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Seagate Surveillance HDD,100,2000,0.05,5400,64,3.5,SATA 6.0 Gb/s,160
ADATA XPG SX8200 Pro,44.99,1000,0.045,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
Seagate FireCuda,89.99,4000,0.022,7200,256,3.5,SATA 6.0 Gb/s,160
MSI SPATIUM M461,86.99,2000,0.043,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Silicon Power A55,19.97,512,0.039,SSD,0,M.2,M.2 SATA,550
Western Digital Blue,36.99,1000,0.037,5400,64,3.5,SATA 6.0 Gb/s,160
Samsung 870 QVO,59,1000,0.059,SSD,0,2.5,SATA 6.0 Gb/s,550
Silicon Power UD85,,1000,,SSD,0,M.2,M.2 PCIe 4.0 X4,7000
Silicon Power P34A60,16.97,256,0.066,SSD,0,M.2,M.2 PCIe 3.0 X4,3500
