chipset,memory,core_clock,boost_clock,CUDA,Metal,OpenCL,Vulkan,api_score
Radeon HD 5750,1.0,700.0,700.0,,,1.29196797295649,,1.29
FirePro V3900,1.0,,,,,1.5231272543518792,,1.52
GeForce GT 620,2.0,700.0,700.0,,,1.4981137500217812,,1.5
GeForce GT 620,1.0,700.0,700.0,,,1.4981137500217812,,1.5
Radeon R7 250X,2.0,1000.0,1000.0,,,7.072243809789333,9.619380785632563,8.35
Radeon R7 250X,1.0,1000.0,1000.0,,,7.072243809789333,9.619380785632563,8.35
Radeon HD 5670,1.0,775.0,775.0,,,1.571860461063967,,1.57
Radeon HD 5670,0.5,775.0,775.0,,,1.571860461063967,,1.57
Radeon HD 5670,2.0,775.0,775.0,,,1.571860461063967,,1.57
GeForce GT 440,1.0,810.0,810.0,,,1.9479255606475108,,1.95
GeForce GT 440,2.0,810.0,810.0,,,1.9479255606475108,,1.95
GeForce GT 440,0.5,810.0,810.0,,,1.9479255606475108,,1.95
FirePro V5800,1.0,700.0,700.0,,,2.1031817944205335,,2.1
Quadro K4000M,4.0,600.0,600.0,2.287064200352037,,2.9756355747617143,,2.63
Radeon HD 5570,1.0,650.0,650.0,,,1.4713751764275385,,1.47
Radeon HD 5570,2.0,,,,,1.4713751764275385,,1.47
GeForce GTX 465,1.0,607.0,607.0,,,4.40658052936974,,4.41
GeForce GTX 460 SE,1.0,660.0,660.0,,,3.2322396278032377,,3.23
GeForce GTX 560 SE,1.0,746.0,746.0,,,3.6104610639669623,,3.61
FirePro S10000,6.0,825.0,825.0,,,14.131658505985467,24.423901813264916,19.28
